Date,Soil_Temperature (°C),Soil_Moisture (%),Air_Temperature (°C),Air_Humidity (%),Paddy_Growth_Stage,Recommended_Fertilizer,Quantity_kg_per_acre,Purpose,Sustainability_Note,Predicted_Yield_ton_per_ha,Cost_LKR_per_ha
09/09/2023,30.7,52.1,30.5,68.9,Seedling,Green Manure,19.8,Micronutrient for enzyme activation,Prefer organic alternatives where possible.,9.872279753,2602.48
02/08/2023,23.8,73.4,29,94.2,Harvest,Green Manure,35,Nitrogen and sulphur supply,Use split application to reduce leaching.,11.1682066,4149.83
15/12/2023,33.6,67,35.8,81,Harvest,Copper Sulphate,10.9,Enhances microbial activity,Maintain irrigation schedule to avoid fertilizer runoff.,10.6287692,3232.56
29/07/2023,31,51.9,27,73.9,Tillering,Copper Sulphate,19,Potassium for stress tolerance,Prefer organic alternatives where possible.,9.701933062,2479.28
03/03/2023,26.2,34.4,27.4,91.3,Seedling,Humic Acid,13.1,Nitrogen and sulphur supply,Ensure soil testing before application.,9.026146163,679.85
04/11/2023,26.5,60.3,28.4,64.9,Panicle Initiation,Iron Chelate,14.3,Nitrogen enrichment from legumes,Avoid chemical overuse; combine with compost.,9.570966461,691.11
20/04/2023,27,52.8,32.9,63.8,Flowering,Iron Chelate,19.9,Enhances microbial activity,Maintain irrigation schedule to avoid fertilizer runoff.,9.64583363,1831.22
06/08/2023,22.3,68.8,34.1,73.8,Panicle Initiation,Humic Acid,27.9,Enhances microbial activity,Maintain irrigation schedule to avoid fertilizer runoff.,10.38587619,2796.82
05/01/2023,26.3,49.1,33.9,70.3,Harvest,Magnesium Sulphate,18.7,Phosphorus for root development,Use split application to reduce leaching.,9.464598286,2353.07
24/02/2023,25,46.7,33.7,85.5,Seedling,Iron Chelate,9.4,Growth stimulant and micronutrients,Use split application to reduce leaching.,9.686550261,3121.75
13/02/2023,30.8,45.2,33,68.9,Seedling,Phosphate Rock,21.7,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.,9.536028059,2921.42
21/08/2023,28.8,41.3,29.8,82.9,Seedling,Ammonium Sulphate,18.9,Iron supply to prevent chlorosis,Use split application to reduce leaching.,9.403833156,3828.27
19/10/2023,32.4,42,26,71.3,Tillering,DAP,9.6,Calcium and nitrate supply for strong stems,Ensure soil testing before application.,9.439634224,4131.91
06/09/2023,23.5,45.6,32.6,75.6,Panicle Initiation,Boron,37.2,Soil conditioner and nutrient uptake,Avoid chemical overuse; combine with compost.,9.730663538,4443.6
13/11/2023,25.2,64.9,31.9,80.8,Tillering,Compost Tea,6.4,Enhances microbial activity,Maintain irrigation schedule to avoid fertilizer runoff.,9.871829151,2604.82
24/05/2023,30.9,27.1,28.1,69.4,Flowering,Copper Sulphate,10.9,Improves grain quality and resistance,Maintain irrigation schedule to avoid fertilizer runoff.,8.708694373,3147.58
24/09/2023,25.2,54.1,30.1,80.4,Harvest,Potash,23.4,Micronutrient for enzyme activation,Use split application to reduce leaching.,9.80334148,3056.88
01/07/2023,30.8,60.3,36,81.8,Tillering,Copper Sulphate,22.2,Micronutrient for flower formation,Use split application to reduce leaching.,10.59830595,3193.82
26/05/2023,29.2,49.2,34.9,82.9,Tillering,Boron,16.2,Enhances microbial activity,Use split application to reduce leaching.,10.19463754,1370.81
17/05/2023,30.1,58.1,35.3,88.8,Harvest,Organic Compost,8.5,Micronutrient for flower formation,Prefer organic alternatives where possible.,10.12276249,3854.04
15/02/2023,33.8,60.1,32.1,89.6,Seedling,MOP,13.3,Improves soil structure and moisture retention,Ensure soil testing before application.,10.6892835,2912.89
31/03/2023,31.4,42.9,34.5,73.8,Tillering,Copper Sulphate,24.5,Enhances microbial activity,Maintain irrigation schedule to avoid fertilizer runoff.,9.727346421,3401.69
18/09/2023,25.7,60.7,35.3,60.6,Flowering,DAP,24.9,Soil conditioner and nutrient uptake,Avoid chemical overuse; combine with compost.,10.12598328,3461.51
28/04/2023,30.3,53.5,32.6,61.3,Harvest,Green Manure,6.5,Micronutrient for enzyme activation,Use split application to reduce leaching.,9.56153767,2695.8
31/08/2023,22,73.4,30.7,79.2,Harvest,DAP,25.9,Improves grain quality and resistance,Prefer organic alternatives where possible.,10.55517128,3100.4
22/05/2023,25.7,47.9,30.4,87.3,Seedling,Copper Sulphate,22.5,Micronutrient for enzyme activation,Ensure soil testing before application.,9.886335895,2906.14
03/09/2023,24.8,71.9,28.8,83.7,Tillering,Zinc Sulphate,32.3,Potassium for stem and disease resistance,Prefer organic alternatives where possible.,10.62798189,4028.31
21/11/2023,24.8,56.1,31.7,81,Seedling,Ammonium Sulphate,17.8,Magnesium for chlorophyll synthesis,Prefer organic alternatives where possible.,10.05815843,2662.13
11/06/2023,29.3,71.6,32.8,84.1,Seedling,MOP,17.8,Magnesium for chlorophyll synthesis,Maintain irrigation schedule to avoid fertilizer runoff.,10.59273479,2309.64
31/03/2023,27,30.2,26.9,66.6,Flowering,Humic Acid,23.1,Potassium for stress tolerance,Maintain irrigation schedule to avoid fertilizer runoff.,8.764461574,2293.69
04/06/2023,26.3,69.7,32.1,65.5,Tillering,Ammonium Sulphate,25.3,Calcium and nitrate supply for strong stems,Use split application to reduce leaching.,10.56490049,3311.4
17/12/2023,30.7,73.3,34.2,62.5,Flowering,Boron,22.9,Calcium and nitrate supply for strong stems,Use split application to reduce leaching.,10.66053907,3209.72
13/10/2023,22.1,41.9,33.7,74.4,Tillering,DAP,28,Growth stimulant and micronutrients,Maintain irrigation schedule to avoid fertilizer runoff.,9.314795859,1364.67
26/11/2023,32.2,60.6,31.9,75.9,Harvest,Biochar,6.8,Phosphorus for root development,Ensure soil testing before application.,10.10495489,2633.35
13/01/2023,31.4,48.2,30.9,91.6,Panicle Initiation,Magnesium Sulphate,17.5,Micronutrient for flower formation,Use split application to reduce leaching.,10.18394705,2277.62
10/03/2023,23.5,44.2,33,63.5,Panicle Initiation,Biochar,18.1,Micronutrient for flower formation,Prefer organic alternatives where possible.,9.002716423,2661.84
22/11/2023,31.4,26.4,32.8,68.2,Tillering,Humic Acid,17.2,Potassium for stress tolerance,Maintain irrigation schedule to avoid fertilizer runoff.,8.780127173,2222.92
02/08/2023,28.6,71.8,26.6,90.4,Panicle Initiation,Zinc Sulphate,20.7,Soil conditioner and nutrient uptake,Maintain irrigation schedule to avoid fertilizer runoff.,10.76427222,1845.7
13/05/2023,25.6,63.9,34.7,69.7,Seedling,Organic Compost,18,Improves soil structure and moisture retention,Avoid chemical overuse; combine with compost.,10.17745688,2633.93
20/07/2023,29.1,45.4,29.9,62,Harvest,MOP,21,Phosphorus for root development,Ensure soil testing before application.,9.371666786,3124.44
23/11/2023,27.3,29.9,29.8,80,Harvest,Green Manure,24,Slow-release phosphorus,Ensure soil testing before application.,9.152048206,3235.94
19/07/2023,24.2,70.4,35.1,65.3,Panicle Initiation,Urea,18.4,Potassium for stress tolerance,Prefer organic alternatives where possible.,10.26513953,516
11/03/2023,22.8,28.9,29.3,64.1,Tillering,Boron,9.3,Iron supply to prevent chlorosis,Prefer organic alternatives where possible.,8.2748132,2828.07
09/11/2023,24.6,27.1,26.4,77.5,Seedling,Magnesium Sulphate,27,Nitrogen enrichment from legumes,Ensure soil testing before application.,8.591851851,4066.27
09/01/2023,33.6,48.8,30.5,60.5,Tillering,Ammonium Sulphate,25.7,Potassium for stem and disease resistance,Maintain irrigation schedule to avoid fertilizer runoff.,9.888684456,3984.37
06/09/2023,27.3,59,35.4,91.2,Panicle Initiation,Ammonium Sulphate,20.2,Improves grain quality and resistance,Prefer organic alternatives where possible.,10.67375214,2909.05
25/12/2023,26.2,32.4,34.1,63.9,Harvest,Green Manure,15.4,Potassium for stress tolerance,Ensure soil testing before application.,8.629167897,776.26
21/02/2023,24.8,29.1,31.3,70.4,Harvest,Potash,14,Nitrogen enrichment from legumes,Avoid chemical overuse; combine with compost.,8.403890707,3067.47
09/01/2023,33.7,48.3,30.1,60,Tillering,Green Manure,26.5,Slow-release phosphorus,Maintain irrigation schedule to avoid fertilizer runoff.,9.878415364,3998.71
21/02/2023,24.1,36.5,27.7,85.3,Flowering,Green Manure,30.2,Improves soil fertility and carbon retention,Use split application to reduce leaching.,9.259792257,1525.62
24/12/2023,26.2,64.3,34.3,78.4,Tillering,Seaweed Extract,4.3,Micronutrient for enzyme activation,Use split application to reduce leaching.,10.09725751,2351.21
23/03/2023,22.7,60.2,28.3,76,Flowering,Iron Chelate,23,Calcium and nitrate supply for strong stems,Maintain irrigation schedule to avoid fertilizer runoff.,9.701746297,2963.57
29/12/2023,32.5,72.7,29.5,62.4,Tillering,Calcium Nitrate,37.5,Nitrogen enrichment from legumes,Use split application to reduce leaching.,10.78051433,4464.84
24/02/2023,28,52.3,30.4,84.5,Flowering,Magnesium Sulphate,19,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.,9.881664226,2975.75
25/06/2023,28.4,32.9,26.8,61.1,Flowering,Biochar,17,Improves soil fertility and carbon retention,Avoid chemical overuse; combine with compost.,8.735401594,3426.38
19/06/2023,27.1,66.3,28.6,84.1,Flowering,Zinc Sulphate,16.8,Potassium for stem and disease resistance,Avoid chemical overuse; combine with compost.,10.51131791,3363.01
19/04/2023,24,56.6,34.4,71.6,Flowering,Ammonium Sulphate,18.5,Phosphorus for root development,Maintain irrigation schedule to avoid fertilizer runoff.,9.969448086,1423.81
28/05/2023,24.2,54.5,33.9,68.6,Seedling,Urea,17.2,Micronutrient for enzyme activation,Use split application to reduce leaching.,9.58099975,1484.96
14/06/2023,26.7,27.3,27.5,63.3,Flowering,Organic Compost,20.3,Iron supply to prevent chlorosis,Prefer organic alternatives where possible.,8.442870027,3060.68
28/10/2023,31.3,29.6,33.3,67.5,Flowering,Compost Tea,19.3,Improves grain quality and resistance,Avoid chemical overuse; combine with compost.,8.998055048,2327.91
29/03/2023,32.6,35.7,31.3,82.6,Harvest,Organic Compost,30.4,Slow-release phosphorus,Avoid chemical overuse; combine with compost.,9.87055576,1540.59
19/02/2023,23.1,60.8,32.8,79.3,Seedling,Green Manure,17.6,Enhances microbial activity,Maintain irrigation schedule to avoid fertilizer runoff.,9.95194514,2103.85
17/07/2023,22.7,50.7,26.8,63.5,Flowering,Seaweed Extract,22.9,Soil conditioner and nutrient uptake,Avoid chemical overuse; combine with compost.,9.192990647,3332.81
22/09/2023,24.7,63.5,28.3,76.2,Panicle Initiation,Zinc Sulphate,6.7,Soil conditioner and nutrient uptake,Ensure soil testing before application.,9.636783648,2822.76
17/09/2023,26.8,67.3,27.5,83.6,Seedling,Iron Chelate,11.1,Potassium for stem and disease resistance,Use split application to reduce leaching.,10.22902209,3369.55
22/08/2023,24.7,70.5,30.2,63.2,Harvest,DAP,20.5,Micronutrient for flower formation,Use split application to reduce leaching.,9.986874846,1831.93
01/03/2023,26.8,43.4,33.7,86.9,Tillering,Seaweed Extract,5.6,Micronutrient for flower formation,Prefer organic alternatives where possible.,9.383738851,2685.6
02/10/2023,23.8,51.4,29.6,69.2,Harvest,Copper Sulphate,27.4,Phosphorus for root development,Ensure soil testing before application.,9.544130902,3366.69
10/02/2023,27.3,31.7,30.4,80.4,Harvest,Humic Acid,27.2,Magnesium for chlorophyll synthesis,Use split application to reduce leaching.,9.229592836,3213.73
01/05/2023,33,53.4,35.9,61,Seedling,Boron,29,Growth stimulant and micronutrients,Maintain irrigation schedule to avoid fertilizer runoff.,10.31283878,1464.01
16/08/2023,23.7,52.3,33.7,75.4,Seedling,Copper Sulphate,8.7,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.,9.660999346,2700.62
27/09/2023,32.6,73.6,30,85.6,Panicle Initiation,Green Manure,11,Micronutrient for flower formation,Use split application to reduce leaching.,10.75115488,3103.99
27/06/2023,26.5,48.2,33,60.5,Panicle Initiation,Potash,19,Enhances microbial activity,Avoid chemical overuse; combine with compost.,9.442339379,3007.33
28/07/2023,24.2,66,36,87.6,Seedling,DAP,19.4,Improves soil structure and moisture retention,Ensure soil testing before application.,10.60594934,560.37
10/07/2023,32,30.3,34.8,65,Seedling,Calcium Nitrate,5.9,Improves grain quality and resistance,Maintain irrigation schedule to avoid fertilizer runoff.,8.836282404,2495.53
13/03/2023,33.7,53.1,30.8,77.2,Seedling,Biochar,19,Nitrogen enrichment from legumes,Use split application to reduce leaching.,10.27846448,3778.35
26/04/2023,30.9,71.2,31.9,65.7,Tillering,Ammonium Sulphate,21.6,Nitrogen boost for vegetative growth,Maintain irrigation schedule to avoid fertilizer runoff.,10.51183554,3183.69
26/12/2023,32.3,37.9,30.5,85.7,Harvest,Green Manure,18,Phosphorus for root development,Prefer organic alternatives where possible.,9.766810345,2761.98
13/07/2023,30.2,27.9,29,85.9,Panicle Initiation,Calcium Nitrate,13.8,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.,9.155545289,2516.09
05/12/2023,32.4,64.2,26.8,81.2,Panicle Initiation,Urea,15.9,Micronutrient for enzyme activation,Ensure soil testing before application.,10.31832283,3616.37
02/05/2023,28.9,69.7,27.2,92.2,Flowering,Phosphate Rock,10.4,Nitrogen enrichment from legumes,Use split application to reduce leaching.,10.70962243,3296.4
22/04/2023,30.2,27.3,27.3,86.1,Tillering,Zinc Sulphate,17,Iron supply to prevent chlorosis,Use split application to reduce leaching.,9.109444046,3075.68
21/09/2023,28.9,30.8,27.9,67.4,Seedling,Magnesium Sulphate,7.1,Magnesium for chlorophyll synthesis,Prefer organic alternatives where possible.,8.549632354,2986.8
14/06/2023,26.9,28.2,27.5,62.8,Seedling,Phosphate Rock,19.9,Iron supply to prevent chlorosis,Prefer organic alternatives where possible.,8.378942922,3085.73
22/05/2023,25.7,48.1,30.4,88.2,Tillering,Copper Sulphate,22.4,Potassium for stem and disease resistance,Ensure soil testing before application.,9.831424817,2854.7
23/05/2023,28.3,33.5,29.6,79.6,Panicle Initiation,Phosphate Rock,23,Iron supply to prevent chlorosis,Use split application to reduce leaching.,9.074823938,747.91
12/07/2023,22.5,57.5,32.8,73.5,Seedling,Potash,16.7,Iron supply to prevent chlorosis,Use split application to reduce leaching.,9.860330034,3575.03
15/08/2023,33.5,53.8,27.3,63.7,Flowering,Zinc Sulphate,6,Nitrogen enrichment from legumes,Use split application to reduce leaching.,9.298179547,2481.41
27/05/2023,32.1,62.2,30.1,67.4,Panicle Initiation,Green Manure,27.8,Improves grain quality and resistance,Prefer organic alternatives where possible.,10.2972674,1431.92
13/07/2023,24.8,33.1,30.3,79.8,Harvest,Copper Sulphate,5.4,Soil conditioner and nutrient uptake,Ensure soil testing before application.,8.644693221,2788.37
11/02/2023,23.2,28.1,31.3,72.8,Tillering,Phosphate Rock,22.6,Micronutrient for flower formation,Avoid chemical overuse; combine with compost.,8.571498273,3732.47
17/11/2023,28,27.5,26.6,88.1,Panicle Initiation,Zinc Sulphate,22.1,Iron supply to prevent chlorosis,Ensure soil testing before application.,9.157034554,3555.76
08/04/2023,30.1,54,30.4,92.4,Harvest,Humic Acid,10.4,Micronutrient for enzyme activation,Maintain irrigation schedule to avoid fertilizer runoff.,9.950343331,3153.42
13/03/2023,33.6,51.5,30.7,77.4,Flowering,Green Manure,18.9,Magnesium for chlorophyll synthesis,Use split application to reduce leaching.,10.20019641,3732.86
17/09/2023,27,67.9,27.1,83.5,Tillering,Organic Compost,11.1,Potassium for stem and disease resistance,Use split application to reduce leaching.,10.22572823,3353.2
24/02/2023,23.2,28.5,31.4,75.1,Seedling,Iron Chelate,28.7,Improves soil fertility and carbon retention,Avoid chemical overuse; combine with compost.,8.888043483,3371.38
19/04/2023,24.3,56,34.9,72,Seedling,Zinc Sulphate,17.7,Slow-release phosphorus,Maintain irrigation schedule to avoid fertilizer runoff.,10.00481727,1525.65
12/09/2023,28.8,62.4,33.5,85.9,Harvest,Potash,17.5,Micronutrient for flower formation,Use split application to reduce leaching.,10.52283649,1552.41
24/12/2023,22.3,45.3,29.4,92.1,Panicle Initiation,Calcium Nitrate,17.3,Improves grain quality and resistance,Use split application to reduce leaching.,9.692319542,2294.67
20/01/2023,27.7,45.1,33.2,66.3,Flowering,Zinc Sulphate,32.8,Potassium for stress tolerance,Use split application to reduce leaching.,9.809477083,3952.56
17/04/2023,32.9,67.9,34.4,93.5,Harvest,Biochar,13.7,Magnesium for chlorophyll synthesis,Ensure soil testing before application.,11.03361757,2446.97
18/06/2023,23.9,72.9,32.2,94.6,Flowering,Organic Compost,20.9,Improves soil fertility and carbon retention,Maintain irrigation schedule to avoid fertilizer runoff.,10.93345757,3107.18
18/03/2023,29.5,37.4,29.8,86.6,Flowering,Magnesium Sulphate,5.9,Improves grain quality and resistance,Avoid chemical overuse; combine with compost.,8.970486084,2553.66
05/03/2023,23.4,51.2,32.3,78.9,Flowering,Magnesium Sulphate,18.9,Soil conditioner and nutrient uptake,Prefer organic alternatives where possible.,9.68681317,3771.46
05/06/2023,33.4,47.9,34.1,78.2,Tillering,Iron Chelate,19.5,Enhances microbial activity,Avoid chemical overuse; combine with compost.,9.978827279,1563.42
08/01/2023,28.1,40.1,26.1,89,Harvest,Potash,21.1,Nitrogen and sulphur supply,Use split application to reduce leaching.,9.319618895,3107.3
06/01/2023,23.3,64.6,31.5,71.1,Tillering,Green Manure,19.5,Potassium for stem and disease resistance,Maintain irrigation schedule to avoid fertilizer runoff.,9.981873677,2497.27
10/02/2023,24.9,61.5,34.1,85.7,Panicle Initiation,Calcium Nitrate,18.9,Nitrogen enrichment from legumes,Use split application to reduce leaching.,10.1385704,3882.69
14/05/2023,29.2,68.9,28,78.1,Panicle Initiation,Ammonium Sulphate,22.3,Growth stimulant and micronutrients,Ensure soil testing before application.,10.56547604,3447.75
07/06/2023,32.2,35.1,26.4,80.5,Seedling,Magnesium Sulphate,16.2,Soil conditioner and nutrient uptake,Ensure soil testing before application.,9.059477932,1452.07
01/01/2023,23.4,66.7,29.7,63.7,Seedling,Urea,19.4,Soil conditioner and nutrient uptake,Use split application to reduce leaching.,9.732963573,1770.42
24/05/2023,31.2,26.9,28.2,69.3,Seedling,Ammonium Sulphate,10.7,Nitrogen and sulphur supply,Maintain irrigation schedule to avoid fertilizer runoff.,8.747053899,3152.49
15/01/2023,32.1,55.6,33.2,75.9,Panicle Initiation,Biochar,39.4,Phosphorus for root development,Use split application to reduce leaching.,10.62678732,4768.62
08/03/2023,27.5,28.6,31.8,90.1,Flowering,DAP,21.3,Soil conditioner and nutrient uptake,Maintain irrigation schedule to avoid fertilizer runoff.,9.345996862,2829.42
27/06/2023,30.9,26.9,28.9,88.2,Flowering,Copper Sulphate,13.2,Nitrogen enrichment from legumes,Ensure soil testing before application.,9.104207741,735.57
20/07/2023,32.4,69.7,34.9,72.2,Harvest,Seaweed Extract,19.7,Soil conditioner and nutrient uptake,Prefer organic alternatives where possible.,10.73706278,1719.88
21/07/2023,33.3,62.9,27.7,81.5,Panicle Initiation,Zinc Sulphate,18.7,Magnesium for chlorophyll synthesis,Ensure soil testing before application.,10.64691506,3842.82
08/02/2023,30.4,61.2,29.8,76.2,Seedling,Magnesium Sulphate,23,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.,10.26010668,3285.66
27/08/2023,25.6,25,26.6,69.1,Panicle Initiation,Humic Acid,27.1,Growth stimulant and micronutrients,Ensure soil testing before application.,8.610300471,2748.71
13/11/2023,24.7,69.4,29.2,61.3,Flowering,Organic Compost,8.4,Nitrogen enrichment from legumes,Prefer organic alternatives where possible.,9.925485104,4111.74
10/04/2023,23.5,73.3,29.4,74.2,Flowering,Biochar,21.7,Improves soil structure and moisture retention,Prefer organic alternatives where possible.,10.31334877,627.83
29/04/2023,31.9,68.7,31.5,93.4,Tillering,Zinc Sulphate,13.9,Nitrogen and sulphur supply,Maintain irrigation schedule to avoid fertilizer runoff.,10.84191631,674.84
03/05/2023,25,70,30.7,66.4,Tillering,Zinc Sulphate,5.1,Potassium for stem and disease resistance,Prefer organic alternatives where possible.,9.989877996,2374.81
06/06/2023,24.4,64.3,29.2,65.3,Harvest,Potash,27.5,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.,10.20754224,3617.84
10/10/2023,30.1,68.5,34,94.6,Panicle Initiation,Ammonium Sulphate,30.5,Micronutrient for enzyme activation,Avoid chemical overuse; combine with compost.,11.27077721,3660.69
28/06/2023,23.1,32.5,32,62.1,Tillering,MOP,22.1,Improves soil fertility and carbon retention,Avoid chemical overuse; combine with compost.,8.430654152,3341.08
09/07/2023,25.6,34.4,33.4,87.2,Tillering,Organic Compost,25.9,Enhances microbial activity,Avoid chemical overuse; combine with compost.,9.298912601,3306.66
04/04/2023,25.2,27.6,26.7,61.1,Panicle Initiation,MOP,18.2,Magnesium for chlorophyll synthesis,Maintain irrigation schedule to avoid fertilizer runoff.,8.43520456,561.24
12/11/2023,31,37,36,93.3,Flowering,Phosphate Rock,23.2,Improves soil fertility and carbon retention,Prefer organic alternatives where possible.,9.921607613,3450.35
26/04/2023,24.1,39.1,30.1,75.5,Harvest,Seaweed Extract,4.4,Magnesium for chlorophyll synthesis,Avoid chemical overuse; combine with compost.,8.602316989,2601
13/12/2023,22,69.1,34.1,78.7,Harvest,Boron,25,Iron supply to prevent chlorosis,Ensure soil testing before application.,10.28268069,3919.69
13/07/2023,25.4,30.8,30.1,79.5,Harvest,Potash,6.2,Potassium for stress tolerance,Ensure soil testing before application.,8.648335318,2828.34
10/09/2023,33.1,34,30.2,76.3,Tillering,Organic Compost,20.8,Potassium for stress tolerance,Avoid chemical overuse; combine with compost.,9.539900231,1745.6
25/04/2023,30.9,60.1,31.2,62.1,Flowering,Seaweed Extract,22.4,Nitrogen and sulphur supply,Maintain irrigation schedule to avoid fertilizer runoff.,10.18832612,1815.55
30/07/2023,25.4,26,31.6,87.8,Harvest,Ammonium Sulphate,19.2,Nitrogen and sulphur supply,Prefer organic alternatives where possible.,9.015081794,3036.27
28/08/2023,25.6,57.7,32.5,64.8,Panicle Initiation,Urea,4.6,Soil conditioner and nutrient uptake,Prefer organic alternatives where possible.,9.390270698,2645.8
31/10/2023,25.3,35.9,33,61.4,Harvest,Humic Acid,22.3,Magnesium for chlorophyll synthesis,Prefer organic alternatives where possible.,8.729437933,2712.88
27/02/2023,30.3,68.4,30.9,68.5,Seedling,Seaweed Extract,27.8,Soil conditioner and nutrient uptake,Prefer organic alternatives where possible.,10.71825523,2854.33
14/03/2023,26.2,53.5,28.6,91.4,Flowering,Biochar,10.9,Potassium for stress tolerance,Ensure soil testing before application.,9.845175889,2970.54
06/05/2023,25.5,45.1,33.1,65.4,Seedling,Urea,8.2,Slow-release phosphorus,Ensure soil testing before application.,8.938662327,3096.54
30/09/2023,27,73.5,28.5,72,Flowering,Zinc Sulphate,14,Nitrogen enrichment from legumes,Prefer organic alternatives where possible.,10.5513514,3056.21
01/11/2023,22.7,38.8,29.8,66.6,Panicle Initiation,Compost Tea,14.1,Improves grain quality and resistance,Avoid chemical overuse; combine with compost.,8.515880958,2462.45
08/01/2023,30.2,73.9,26.9,85.6,Tillering,Humic Acid,27.3,Magnesium for chlorophyll synthesis,Maintain irrigation schedule to avoid fertilizer runoff.,11.01365276,2765.44
28/02/2023,23.6,36,30.1,93,Tillering,MOP,19.7,Improves grain quality and resistance,Prefer organic alternatives where possible.,9.176962058,2689.63
13/07/2023,25.9,43.4,33.3,92.8,Flowering,Magnesium Sulphate,20.9,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,9.61412687,2449.29
05/08/2023,33.6,58.8,28.9,70.6,Harvest,Compost Tea,7.8,Soil conditioner and nutrient uptake,Ensure soil testing before application.,9.708599676,2900.81
17/02/2023,30.6,41.9,33,61.7,Seedling,Phosphate Rock,7,Improves soil structure and moisture retention,Use split application to reduce leaching.,9.125133293,3230.65
26/04/2023,26.6,43.4,34.1,67.5,Panicle Initiation,Magnesium Sulphate,22.4,Soil conditioner and nutrient uptake,Use split application to reduce leaching.,9.26894381,3381.64
28/02/2023,24.8,38.3,28.4,65.2,Harvest,Magnesium Sulphate,21.9,Iron supply to prevent chlorosis,Maintain irrigation schedule to avoid fertilizer runoff.,8.867743254,3569.56
12/11/2023,23,71.9,26.9,81.4,Tillering,Phosphate Rock,19.4,Calcium and nitrate supply for strong stems,Prefer organic alternatives where possible.,10.24055507,537.84
04/12/2023,26.6,75,26,90.1,Harvest,Boron,20.2,Calcium and nitrate supply for strong stems,Ensure soil testing before application.,10.80930232,1645.34
03/10/2023,25.2,36.8,31.9,64.1,Seedling,Seaweed Extract,22.6,Slow-release phosphorus,Ensure soil testing before application.,8.88640397,2895.29
28/07/2023,23.9,65.1,36,87.9,Tillering,DAP,18.6,Magnesium for chlorophyll synthesis,Ensure soil testing before application.,10.52962701,587.25
05/05/2023,27.2,50.2,32,75.7,Flowering,Biochar,31.4,Calcium and nitrate supply for strong stems,Ensure soil testing before application.,9.767451915,1511.42
22/09/2023,24.8,63.4,27.9,76.7,Panicle Initiation,Compost Tea,6.8,Phosphorus for root development,Ensure soil testing before application.,9.670064272,2853.77
10/10/2023,29.8,68.7,34.1,93.6,Panicle Initiation,Biochar,30.1,Improves grain quality and resistance,Avoid chemical overuse; combine with compost.,11.37941181,3631.76
18/03/2023,26.4,42.4,28.7,72.3,Tillering,DAP,25.7,Slow-release phosphorus,Use split application to reduce leaching.,9.17919255,3521.05
23/04/2023,29.7,44.4,31.8,88,Flowering,Phosphate Rock,17.9,Nitrogen boost for vegetative growth,Maintain irrigation schedule to avoid fertilizer runoff.,10.03911553,1642.58
14/04/2023,22.4,75,30.2,76,Seedling,Boron,24.2,Calcium and nitrate supply for strong stems,Ensure soil testing before application.,10.41750468,3152.16
08/01/2023,30.3,72,26.8,84.2,Panicle Initiation,Organic Compost,27.1,Enhances microbial activity,Maintain irrigation schedule to avoid fertilizer runoff.,10.98406029,2745.94
02/08/2023,25.5,62,34.1,73.9,Tillering,Boron,19.7,Nitrogen and sulphur supply,Maintain irrigation schedule to avoid fertilizer runoff.,10.05910549,4017.17
18/12/2023,23.1,31.4,28.9,86.4,Panicle Initiation,Compost Tea,17.1,Slow-release phosphorus,Use split application to reduce leaching.,8.68927694,3470.22
07/11/2023,29.4,42.8,29.1,66.4,Flowering,Seaweed Extract,24.9,Calcium and nitrate supply for strong stems,Prefer organic alternatives where possible.,9.536851131,3129.51
28/04/2023,30.2,54.4,32.9,60.8,Seedling,Iron Chelate,7.1,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,9.495460532,2688.69
05/03/2023,23.4,51,32.1,79.5,Flowering,Copper Sulphate,19.2,Calcium and nitrate supply for strong stems,Prefer organic alternatives where possible.,9.656041952,3817.04
06/02/2023,31.1,50.7,31.2,71.7,Harvest,Copper Sulphate,12.7,Slow-release phosphorus,Prefer organic alternatives where possible.,9.737608612,2980.11
28/02/2023,23.6,34.8,30.7,93.2,Flowering,Iron Chelate,19.7,Enhances microbial activity,Prefer organic alternatives where possible.,9.214695669,2697.54
23/05/2023,24.7,55,31.7,82.3,Flowering,Green Manure,15.3,Phosphorus for root development,Use split application to reduce leaching.,9.695654512,3089.31
25/10/2023,31.5,27.1,31.4,73.2,Panicle Initiation,Humic Acid,11,Micronutrient for enzyme activation,Prefer organic alternatives where possible.,8.829404356,2939.08
13/10/2023,34,54.9,34.6,64,Flowering,Zinc Sulphate,27.9,Improves soil structure and moisture retention,Prefer organic alternatives where possible.,10.16977613,3612.81
22/01/2023,31.4,74.8,32.5,82.6,Tillering,Urea,8.8,Nitrogen and sulphur supply,Use split application to reduce leaching.,10.96000961,3718.4
25/12/2023,26.2,32.4,33.8,63.7,Panicle Initiation,Urea,15.5,Nitrogen enrichment from legumes,Ensure soil testing before application.,8.583988222,875.66
